ID,Title,description,topics,category,hints,similar_questions,corpus,length
2938,separate black white ball,n ball table ball color black white given indexed binary string length n represent black white ball respectively step choose two adjacent ball swap return minimum number step group black ball right white ball left nbsp example input quot quot output explanation group black ball right following way swap quot quot initially grouped together requiring least step group right example input quot quot output explanation group black ball right following way swap quot quot swap quot quot proven minimum number step needed example input quot quot output explanation black ball already grouped right nbsp constraint lt n slength lt si either,two pointer string greedy,algorithm,every string swapped every right side iterate right left count number already occurred whenever iterate add counter answer,,TITLE separate black white ball CATEGORY algorithm TOPICS two pointer string greedy DESCRIPTION n ball table ball color black white given indexed binary string length n represent black white ball respectively step choose two adjacent ball swap return minimum number step group black ball right white ball left nbsp example input quot quot output explanation group black ball right following way swap quot quot initially grouped together requiring least step group right example input quot quot output explanation group black ball right following way swap quot quot swap quot quot proven minimum number step needed example input quot quot output explanation black ball already grouped right nbsp constraint lt n slength lt si either HINTS every string swapped every right side iterate right left count number already occurred whenever iterate add counter answer SIMILAR ,134
2571,minimum operation reduce integer,given positive integer n following operation number time add subtract power n return minimum number operation make n equal number x power x nbspwhere gt nbsp example input n output explanation following operation add n n subtract n n subtract n n shown minimum number operation need make n equal example input n output explanation following operation add n n add n n subtract n n minimum number operation nbsp constraint lt n lt,dynamic programming greedy bit manipulation,algorithm,setunset bit binary representation multiple adjacent one optimally add subtract operation one get unset bonus try solve problem higher constraint n ≤,title plus one titleslug plusone difficulty easy translatedtitle null,TITLE minimum operation reduce integer CATEGORY algorithm TOPICS dynamic programming greedy bit manipulation DESCRIPTION given positive integer n following operation number time add subtract power n return minimum number operation make n equal number x power x nbspwhere gt nbsp example input n output explanation following operation add n n subtract n n subtract n n shown minimum number operation need make n equal example input n output explanation following operation add n n add n n subtract n n minimum number operation nbsp constraint lt n lt HINTS setunset bit binary representation multiple adjacent one optimally add subtract operation one get unset bonus try solve problem higher constraint n ≤ SIMILAR title plus one titleslug plusone difficulty easy translatedtitle null,121
1105,filling bookcase shelf,given array book booksi thickness height indicates thickness height th book also given integer shelfwidth want place book order onto bookcase shelf total width shelfwidth choose book place shelf sum thickness less equal shelfwidth build another level shelf bookcase total height bookcase increased maximum height book put repeat process book place note step process order book place order given sequence book example ordered list book might place first second book onto first shelf third book second shelf fourth fifth book last shelf return minimum possible height total bookshelf placing shelf manner nbsp example input book shelfwidth output explanation sum height shelf notice book number first shelf example input book shelfwidth output nbsp constraint lt bookslength lt lt thickness lt shelfwidth lt lt height lt,array dynamic programming,algorithm,use dynamic programming dpi answer problem booksi,,TITLE filling bookcase shelf CATEGORY algorithm TOPICS array dynamic programming DESCRIPTION given array book booksi thickness height indicates thickness height th book also given integer shelfwidth want place book order onto bookcase shelf total width shelfwidth choose book place shelf sum thickness less equal shelfwidth build another level shelf bookcase total height bookcase increased maximum height book put repeat process book place note step process order book place order given sequence book example ordered list book might place first second book onto first shelf third book second shelf fourth fifth book last shelf return minimum possible height total bookshelf placing shelf manner nbsp example input book shelfwidth output explanation sum height shelf notice book number first shelf example input book shelfwidth output nbsp constraint lt bookslength lt lt thickness lt shelfwidth lt lt height lt HINTS use dynamic programming dpi answer problem booksi SIMILAR ,144
1894,find student replace chalk,n student class numbered n teacher give student problem starting student number student number teacher reach student number n teacher restart process starting student number given indexed integer array chalk integer k initially k piece chalk student number given problem solve use chalki piece chalk solve problem however current number chalk piece strictly less chalki student number asked replace chalk return index student replace chalk piece nbsp example input chalk k output explanation student go turn follows student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number enough chalk replace example input chalk k output explanation student go turn follows student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number enough chalk replace nbsp constraint chalklength n lt n lt lt chalki lt lt k lt,array binary search simulation prefix sum,algorithm,subtract sum chalk k k less sum chalk iterate array chalki less k answer otherwise subtract chalki k continue,title pas pillow titleslug passthepillow difficulty easy translatedtitle null,TITLE find student replace chalk CATEGORY algorithm TOPICS array binary search simulation prefix sum DESCRIPTION n student class numbered n teacher give student problem starting student number student number teacher reach student number n teacher restart process starting student number given indexed integer array chalk integer k initially k piece chalk student number given problem solve use chalki piece chalk solve problem however current number chalk piece strictly less chalki student number asked replace chalk return index student replace chalk piece nbsp example input chalk k output explanation student go turn follows student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number enough chalk replace example input chalk k output explanation student go turn follows student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number us chalk k student number enough chalk replace nbsp constraint chalklength n lt n lt lt chalki lt lt k lt HINTS subtract sum chalk k k less sum chalk iterate array chalki less k answer otherwise subtract chalki k continue SIMILAR title pas pillow titleslug passthepillow difficulty easy translatedtitle null,230
1497,check array pair divisible k,given array integer arr even length n integer k want divide array exactly n pair sum pair divisible k return true find way false otherwise nbsp example input arr k output true explanation pair example input arr k output true explanation pair example input arr k output false explanation try possible pair see way divide arr pair sum divisible nbsp constraint arrlength n lt n lt n even lt arri lt lt k lt,array hash table counting,algorithm,keep array frequency x k k k x arr k need check freqi freqk take care case k,title count array pair divisible k titleslug countarraypairsdivisiblebyk difficulty hard translatedtitle null title minimum deletion make array divisible titleslug minimumdeletionstomakearraydivisible difficulty hard translatedtitle null title count pair form complete day ii titleslug countpairsthatformacompletedayii difficulty medium translatedtitle null title count pair form complete day titleslug countpairsthatformacompletedayi difficulty easy translatedtitle null,TITLE check array pair divisible k CATEGORY algorithm TOPICS array hash table counting DESCRIPTION given array integer arr even length n integer k want divide array exactly n pair sum pair divisible k return true find way false otherwise nbsp example input arr k output true explanation pair example input arr k output true explanation pair example input arr k output false explanation try possible pair see way divide arr pair sum divisible nbsp constraint arrlength n lt n lt n even lt arri lt lt k lt HINTS keep array frequency x k k k x arr k need check freqi freqk take care case k SIMILAR title count array pair divisible k titleslug countarraypairsdivisiblebyk difficulty hard translatedtitle null title minimum deletion make array divisible titleslug minimumdeletionstomakearraydivisible difficulty hard translatedtitle null title count pair form complete day ii titleslug countpairsthatformacompletedayii difficulty medium translatedtitle null title count pair form complete day titleslug countpairsthatformacompletedayi difficulty easy translatedtitle null,157
250,count univalue subtrees,,tree depthfirst search binary tree,algorithm,,title subtree another tree titleslug subtreeofanothertree difficulty easy translatedtitle null title longest univalue path titleslug longestunivaluepath difficulty medium translatedtitle null,TITLE count univalue subtrees CATEGORY algorithm TOPICS tree depthfirst search binary tree DESCRIPTION  HINTS  SIMILAR title subtree another tree titleslug subtreeofanothertree difficulty easy translatedtitle null title longest univalue path titleslug longestunivaluepath difficulty medium translatedtitle null,35
968,binary tree camera,given root binary tree install camera tree node camera node monitor parent immediate child return minimum number camera needed monitor node tree nbsp example input root null output explanation one camera enough monitor node placed shown example input root null null nullnull output explanation least two camera needed monitor node tree image show one valid configuration camera placement nbsp constraint number node tree range nodeval,dynamic programming tree depthfirst search binary tree,algorithm,,title distribute coin binary tree titleslug distributecoinsinbinarytree difficulty medium translatedtitle null title choose edge maximize score tree titleslug chooseedgestomaximizescoreinatree difficulty medium translatedtitle null,TITLE binary tree camera CATEGORY algorithm TOPICS dynamic programming tree depthfirst search binary tree DESCRIPTION given root binary tree install camera tree node camera node monitor parent immediate child return minimum number camera needed monitor node tree nbsp example input root null output explanation one camera enough monitor node placed shown example input root null null nullnull output explanation least two camera needed monitor node tree image show one valid configuration camera placement nbsp constraint number node tree range nodeval HINTS  SIMILAR title distribute coin binary tree titleslug distributecoinsinbinarytree difficulty medium translatedtitle null title choose edge maximize score tree titleslug chooseedgestomaximizescoreinatree difficulty medium translatedtitle null,105
528,random pick weight,given indexed array positive integer w wi describes weight th index need implement function pickindex randomly pick index range wlength inclusive return probability picking index wi sumw example w probability picking index ie probability picking index ie nbsp example input quotsolutionquotquotpickindexquot output null explanation solution solution new solution solutionpickindex return option return since one element w example input quotsolutionquotquotpickindexquotquotpickindexquotquotpickindexquotquotpickindexquotquotpickindexquot output null explanation solution solution new solution solutionpickindex return returning second element index probability solutionpickindex return solutionpickindex return solutionpickindex return solutionpickindex return returning first element index probability since randomization problem multiple answer allowed following output considered correct null null null null null nbsp constraint lt wlength lt lt wi lt pickindex called time,array math binary search prefix sum randomized,algorithm,,title random pick index titleslug randompickindex difficulty medium translatedtitle null title random pick blacklist titleslug randompickwithblacklist difficulty hard translatedtitle null title random point nonoverlapping rectangle titleslug randompointinnonoverlappingrectangles difficulty medium translatedtitle null,TITLE random pick weight CATEGORY algorithm TOPICS array math binary search prefix sum randomized DESCRIPTION given indexed array positive integer w wi describes weight th index need implement function pickindex randomly pick index range wlength inclusive return probability picking index wi sumw example w probability picking index ie probability picking index ie nbsp example input quotsolutionquotquotpickindexquot output null explanation solution solution new solution solutionpickindex return option return since one element w example input quotsolutionquotquotpickindexquotquotpickindexquotquotpickindexquotquotpickindexquotquotpickindexquot output null explanation solution solution new solution solutionpickindex return returning second element index probability solutionpickindex return solutionpickindex return solutionpickindex return solutionpickindex return returning first element index probability since randomization problem multiple answer allowed following output considered correct null null null null null nbsp constraint lt wlength lt lt wi lt pickindex called time HINTS  SIMILAR title random pick index titleslug randompickindex difficulty medium translatedtitle null title random pick blacklist titleslug randompickwithblacklist difficulty hard translatedtitle null title random point nonoverlapping rectangle titleslug randompointinnonoverlappingrectangles difficulty medium translatedtitle null,160
2951,find peak,given indexed array mountain task find peak mountain array return array consists index peak given array order note peak defined element strictly greater neighboring element first last element array peak nbsp example input mountain output explanation mountain mountain peak first last element array mountain also peak strictly greater mountain answer example input mountain output explanation mountain mountain peak first last element array mountain also peak strictly greater mountain mountain mountain mountain strictly greater neighboring element answer nbsp constraint lt mountainlength lt lt mountaini lt,array enumeration,algorithm,numsi numi numsi numsi numsi peak,title find peak element titleslug findpeakelement difficulty medium translatedtitle null title find peak element ii titleslug findapeakelementii difficulty medium translatedtitle null,TITLE find peak CATEGORY algorithm TOPICS array enumeration DESCRIPTION given indexed array mountain task find peak mountain array return array consists index peak given array order note peak defined element strictly greater neighboring element first last element array peak nbsp example input mountain output explanation mountain mountain peak first last element array mountain also peak strictly greater mountain answer example input mountain output explanation mountain mountain peak first last element array mountain also peak strictly greater mountain mountain mountain mountain strictly greater neighboring element answer nbsp constraint lt mountainlength lt lt mountaini lt HINTS numsi numi numsi numsi numsi peak SIMILAR title find peak element titleslug findpeakelement difficulty medium translatedtitle null title find peak element ii titleslug findapeakelementii difficulty medium translatedtitle null,122
1,two sum,given array integer nums nbspand integer target return index two number add target may assume input would exactly one solution may use element twice return answer order nbsp example input nums target output explanation nums nums return example input nums target output example input nums target output nbsp constraint lt numslength lt lt numsi lt lt target lt one valid answer exists nbsp followupnbsp come algorithm less nbsp time complexity,array hash table,algorithm,really brute force way would search possible pair number would slow best try brute force solution completeness brute force solution come optimization fix one number say x scan entire array find next number value x value input parameter change array somehow search becomes faster second train thought without changing array use additional space somehow like maybe hash map speed search,title sum titleslug sum difficulty medium translatedtitle null title sum titleslug sum difficulty medium translatedtitle null title two sum ii input array sorted titleslug twosumiiinputarrayissorted difficulty medium translatedtitle null title two sum iii data structure design titleslug twosumiiidatastructuredesign difficulty easy translatedtitle null title subarray sum equal k titleslug subarraysumequalsk difficulty medium translatedtitle null title two sum iv input bst titleslug twosumivinputisabst difficulty easy translatedtitle null title two sum less k titleslug twosumlessthank difficulty easy translatedtitle null title max number ksum pair titleslug maxnumberofksumpairs difficulty medium translatedtitle null title count good meal titleslug countgoodmeals difficulty medium translatedtitle null title count number pair absolute difference k titleslug countnumberofpairswithabsolutedifferencek difficulty easy translatedtitle null title number pair string concatenation equal target titleslug numberofpairsofstringswithconcatenationequaltotarget difficulty medium translatedtitle null title find kdistant index array titleslug findallkdistantindicesinanarray difficulty easy translatedtitle null title first letter appear twice titleslug firstlettertoappeartwice difficulty easy translatedtitle null title number excellent pair titleslug numberofexcellentpairs difficulty hard translatedtitle null title number arithmetic triplet titleslug numberofarithmetictriplets difficulty easy translatedtitle null title node highest edge score titleslug nodewithhighestedgescore difficulty medium translatedtitle null title check distance letter titleslug checkdistancesbetweensameletters difficulty easy translatedtitle null title find subarrays equal sum titleslug findsubarrayswithequalsum difficulty easy translatedtitle null title largest positive integer exists negative titleslug largestpositiveintegerthatexistswithitsnegative difficulty easy translatedtitle null title number distinct average titleslug numberofdistinctaverages difficulty easy translatedtitle null title count pair whose sum less target titleslug countpairswhosesumislessthantarget difficulty easy translatedtitle null,TITLE two sum CATEGORY algorithm TOPICS array hash table DESCRIPTION given array integer nums nbspand integer target return index two number add target may assume input would exactly one solution may use element twice return answer order nbsp example input nums target output explanation nums nums return example input nums target output example input nums target output nbsp constraint lt numslength lt lt numsi lt lt target lt one valid answer exists nbsp followupnbsp come algorithm less nbsp time complexity HINTS really brute force way would search possible pair number would slow best try brute force solution completeness brute force solution come optimization fix one number say x scan entire array find next number value x value input parameter change array somehow search becomes faster second train thought without changing array use additional space somehow like maybe hash map speed search SIMILAR title sum titleslug sum difficulty medium translatedtitle null title sum titleslug sum difficulty medium translatedtitle null title two sum ii input array sorted titleslug twosumiiinputarrayissorted difficulty medium translatedtitle null title two sum iii data structure design titleslug twosumiiidatastructuredesign difficulty easy translatedtitle null title subarray sum equal k titleslug subarraysumequalsk difficulty medium translatedtitle null title two sum iv input bst titleslug twosumivinputisabst difficulty easy translatedtitle null title two sum less k titleslug twosumlessthank difficulty easy translatedtitle null title max number ksum pair titleslug maxnumberofksumpairs difficulty medium translatedtitle null title count good meal titleslug countgoodmeals difficulty medium translatedtitle null title count number pair absolute difference k titleslug countnumberofpairswithabsolutedifferencek difficulty easy translatedtitle null title number pair string concatenation equal target titleslug numberofpairsofstringswithconcatenationequaltotarget difficulty medium translatedtitle null title find kdistant index array titleslug findallkdistantindicesinanarray difficulty easy translatedtitle null title first letter appear twice titleslug firstlettertoappeartwice difficulty easy translatedtitle null title number excellent pair titleslug numberofexcellentpairs difficulty hard translatedtitle null title number arithmetic triplet titleslug numberofarithmetictriplets difficulty easy translatedtitle null title node highest edge score titleslug nodewithhighestedgescore difficulty medium translatedtitle null title check distance letter titleslug checkdistancesbetweensameletters difficulty easy translatedtitle null title find subarrays equal sum titleslug findsubarrayswithequalsum difficulty easy translatedtitle null title largest positive integer exists negative titleslug largestpositiveintegerthatexistswithitsnegative difficulty easy translatedtitle null title number distinct average titleslug numberofdistinctaverages difficulty easy translatedtitle null title count pair whose sum less target titleslug countpairswhosesumislessthantarget difficulty easy translatedtitle null,374
